key	base
assignment.edit.client_title	Клиент
assignment.edit.description	Изменить процедуру, мастера или время
assignment.edit.price_title	Цена
assignment.edit.save_action	Сохранить изменения
assignment.edit.screen_title	Редактирование записи
assignment.edit.title	Редактировать запись
assignment.settlement.action	Рассчитать
assignment.timeline.cancelled	Запись отменена
assignment.timeline.cancelled_by_client	Запись отменил клиент
assignment.timeline.cancelled_by_salon	Запись отменил салон
assignment.timeline.cancelled_by_system	Запись отменена системой
assignment.timeline.completed	Визит завершён
assignment.timeline.created	Запись создана
assignment.timeline.empty	События по этой записи появятся здесь, когда она будет подтверждена или изменена.
assignment.timeline.expired	Срок записи истёк
assignment.timeline.new_time_label	Новое время
assignment.timeline.no_show	Клиент не пришёл
assignment.timeline.pending	Ожидает подтверждения
assignment.timeline.pending_client	Ожидает подтверждения клиента
assignment.timeline.pending_description	Сейчас запись ожидает следующего действия и ещё не имеет истории визита.
assignment.timeline.pending_staff	Ожидает подтверждения салона
assignment.timeline.rejected	Запись отклонена
assignment.timeline.rescheduled	Запись перенесена
assignment.timeline.services_label	Услуги
assignment.timeline.started	Визит начат
assignment.timeline.time_label	Время
assignment.timeline.title	История записи
creatable.appointment.additional_fields_placeholder	Здесь появятся скидка и другие параметры.
creatable.appointment.client_selection_title	Выбор клиента
creatable.appointment.collapse_fields_action	Скрыть дополнительные поля
creatable.appointment.create_action	Создать
creatable.appointment.creating_action	Создание...
creatable.appointment.custom_duration_title	Длительность
creatable.appointment.expand_fields_action	Дополнительные поля
creatable.appointment.extended_create_action	Расширенное создание
creatable.appointment.manual_date_title	Ввести дату вручную
creatable.appointment.not_selected	Не выбрано
creatable.appointment.quick_create_action	Быстрое создание
creatable.appointment.select_executor_title	Выберите мастера
creatable.appointment.service_selection_title	Выбор услуги и мастера
creatable.appointment.time_selection_title	Время
creatable.booking.field.procedure_title	Услуга
creatable.booking.field.salon_title	Салон
creatable.booking.field.select_time_slot	Выбрать время
creatable.booking.field.service_title	Услуга
creatable.booking.field.time_slot_title	Время
creatable.booking.select_procedure_first_message	Сначала выберите процедуру или комплекс
creatable.booking.service.change	Изменить
creatable.booking.service.master	Мастер
creatable.booking.service.master_not_selected	Мастер не выбран
creatable.booking.service.not_selected	Не выбран
creatable.booking.service.nothing_selected	Не выбрано
creatable.booking.service.select_service_for_booking	Выберите услугу для записи
creatable.booking.time_slot.change	Изменить
creatable.booking.time_slot.not_selected	Не выбрано
creatable.booking.time_slot.title	Время
creatable.booking.title	Запись
creatable.complex.access.independent_from_gender	Независимо от пола
creatable.complex.access.men_only	Только для мужчин
creatable.complex.access.women_only	Только для женщин
creatable.complex.action.change_executors	Изменить исполнителей
creatable.complex.action.move_down	Переместить ниже
creatable.complex.action.move_up	Переместить выше
creatable.complex.booking_type.parallel	Услуги бронируются параллельно
creatable.complex.booking_type.sequential	Услуги бронируются последовательно
creatable.complex.field.access_settings_title	Настройки доступа
creatable.complex.field.add_service	Добавить услугу
creatable.complex.field.all_executors	Все исполнители
creatable.complex.field.booking_type_hint	Выберите, будут ли услуги набора предоставляться последовательно или параллельно.
creatable.complex.field.booking_type_title	Тип бронирования
creatable.complex.field.choose_procedures_hint	Добавьте процедуры, которые должны входить в этот набор
creatable.complex.field.choose_procedures_title	Выберите услуги
creatable.complex.field.description_hint	Опишите ценность набора и детали, которые важно знать до записи
creatable.complex.field.description_placeholder	Добавьте описание этого набора
creatable.complex.field.description_title	Описание (необязательно)
creatable.complex.field.executors_missing	Исполнители не выбраны
creatable.complex.field.executors_sheet_hint	Выберите исполнителей, которые могут выполнять эту процедуру внутри набора
creatable.complex.field.name_hint	Название должно сразу объяснять, что входит в набор и чем он полезен клиенту
creatable.complex.field.name_placeholder	Например, маникюр в 4 руки
creatable.complex.field.name_title	Название набора
creatable.complex.field.no_discount	Скидка не применяется
creatable.complex.field.online_booking_enabled	Вкл.
creatable.complex.field.online_booking_hint	Позвольте клиентам бронировать этот набор онлайн через Maetry, соцсети и прямые ссылки для записи
creatable.complex.field.online_booking_title	Онлайн-запись
creatable.complex.field.percent_discount_placeholder	Введите скидку в %
creatable.complex.field.percent_discount_title	Процент скидки
creatable.complex.field.price_hint	Выберите, как считать цену набора: по сумме услуг, спеццене или скидке
creatable.complex.field.price_type_title	Тип цены
creatable.complex.field.procedures_not_found	Процедуры не найдены
creatable.complex.field.read_more	Подробнее...
creatable.complex.field.retail_price_title	Розничная цена
creatable.complex.field.selected_procedures_summary_title	Выбранные процедуры:
creatable.complex.field.services_description	Выберите процедуры, которые входят в набор, и при необходимости настройте исполнителей для каждой из них
creatable.complex.field.tags_hint	Набор наследует теги выбранных процедур и может относиться сразу к нескольким тегам
creatable.complex.field.tags_placeholder	Теги появятся после выбора процедур
creatable.complex.field.tags_title	Теги
creatable.complex.field.total_duration	Общая длительность
creatable.complex.missing_price	Укажите цену набора
creatable.complex.price_type.free	Бесплатно
creatable.complex.price_type.percent_discount	Процентная скидка
creatable.complex.price_type.special_price	Специальная цена
creatable.complex.price_type.total_services	Цена всех услуг
creatable.complex.section.main	Основная информация
creatable.complex.section.price	Цена
creatable.complex.section.services	Услуги
creatable.complex.title	Новый набор
creatable.complex.unfinished_title	Незавершенное создание набора
creatable.marketing_campaign.field.description_placeholder	Описание кампании (необязательно)
